Num Not	FRBNF	ARK	ISBN	EAN	Titre	Auteur	Date	Volume-Tome	Editeur
  ARC00006537					 A nous le souvenir  à eux l'immortalité   Les monuments aux morts du pays d'Ancenis  de la guerre de 1870 à la guerre d'Algérie	voisin-thiberge claire	2018	n° 33	
  ARC00006547					 Bachelot de La Pylaie   1786-1856 	gillot gaston	1951		 s n  
  ARC00007064					 Cette coquille    La salle du Parc des sports   dite  La Soucoupe 	solen peron	2019		
  ARC00006843					 Documents sur la généalogie de la famille Guérin de Bouaye 				
  ARC00007061					 La Révolution française	edouard gasc-desfosses	1923	Tome 3	Gabriel Beauchesne
  ARC00006994					 Le nouveau port de plaisance de Pornic 	gautier marcel	1971		 s n  
  ARC00006340					 Lieux de Souvenir  Mémoires de Soldats 	comite francais cantonal souvenir du	2007		Comité cantonal du Souvenir Français
  ARC00006553					 Marigny  le général assassiné 	colle j-r	1969		 s n  
  ARC00006825					 Mémoires du Cardinal B  Pacca sur le pontificat de Pie VII 	queyras m	1860		Amboise Bray libraire-éditeur
  ARC00006985					 Mémoires d'un aide de camp de Napoléon 	de segur philippe	1910		Nelson éditeurs
  ARC00006984					 Mémoires d'un aide de camp de Napoléon 	de segur philippe	1910		Nelson éditeurs
  ARC00006636					 Nous ne resterons pas les bâtards de la métallurgie   Histoire de la grève des Batignolles  janvier-mars 1971  Nantes	gaelle boursier	2019		
  ARC00006608					 Quelques racines toponymiques du Bas-Pays de Retz  du marais breton et de la baie de Bourgneuf 	mounes j	1966		 s n  
  ARC00006841					 Sans titre  document sur le commerce avec Saint-Domingue 				
  DOB00002341			9781407313566		 Somewhere beyond the sea  les îles bretonnes  France  perspectives archéologiques  géographiques et historiques actes du Séminaire Archéologique de l'Ouest  1er avril 2014  Rennes the islands of Brittany  France  an archaeological  geographical and historical point of view acts of the seminar on the archaeology of Western France  1st April 2014  Rennes	de gehres benjamin seminaire lorena archeologique audouard l'ouest	2015		Archaeopress
  ARC00007053					 Sur la piste des émigrants bretons en Amérique  III - Images des 10000 Bretons de New-York	le clech gregoire	1953		Imprimerie du Cap-Horn
  ARC00007036					 Sur la piste des émigrants bretons en Amérique  IV - Sur la piste des 25000 Bretons des Etats-Unis	le clech gregoire	1953		Imprimerie du Cap-Horn
  ARC00007038					 Sur la piste des émigrants bretons en Amérique  VI - Bretagne - France - Canada  un courant d'émigration essentiellement catholique  suite 	le clech gregoire	19 541 955		Imprimerie du Cap-Horn
  ARC00007039					 Sur la piste des émigrants bretons en Amérique  VII - Le problème de l'établissement des français au Canada	le clech gregoire	1953		Imprimerie du Cap-Horn
  ARC00006555					 Un épisode de la contre-réforme  Le rétablissement des structures catholiques à la Rochelle  1628-1648  	francois moisy	1971		 s n  
  ARC00006554					 Un épisode de la contre-réforme  Le rétablissement des structures catholiques à la Rochelle  1628-1648  	francois moisy	1971		 s n  
  ARC00006714					 Un héros du pays nantais Pierre Jacques Etienne Cambronne 	g aubin	1952		 s n  
  ARC00006713					 Un héros du pays nantais Pierre Jacques Etienne Cambronne 	g aubin	1952		 s n  
  ARC00006557					 Un Saint breton authentique Saint Goustan  moine de Rhuys et de Beauvais  974-1040  	j rousseau	1939		 s n  
  ARC00006556					 Un Saint breton authentique Saint Goustan  moine de Rhuys et de Beauvais  974-1040  	j rousseau	1939		 s n  
