ARK	title	subject	description	source	language	relation	coverage	creator	contributor	publisher	rights	date	type	format	identifier
ark:/12148/cb34347868s		Logifirst				fre ; français					Institut First (Compiègne)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	199 	texte imprimé ; printed text ; text	disquette ; 9 cm	http://catalogue.bnf.fr/ark:/12148/cb34347868s
ark:/12148/cb369464124		Orientateur				fre ; français					Essalam (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1997	texte imprimé ; printed text ; text	20 cm	http://catalogue.bnf.fr/ark:/12148/cb369464124
ark:/12148/cb36595058f		Anatomie				fre ; français					Flammarion médecine sciences (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1998	texte imprimé ; printed text ; text	19 cm	http://catalogue.bnf.fr/ark:/12148/cb36595058f
ark:/12148/cb343475590		Les carnets de l'adepte				fre ; français					Ed. BAGI (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1996	texte imprimé ; printed text ; text	22 cm	http://catalogue.bnf.fr/ark:/12148/cb343475590
ark:/12148/cb375831701		Glorieux cavaliers de Napoléon				fre ; français					Atlas (Evreux)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	30 cm	http://catalogue.bnf.fr/ark:/12148/cb375831701
ark:/12148/cb371272512		Lotus 1-2-3 / Évelyne Brossard				fre ; français			Brossard, Evelyne. Auteur du texte		Dunod (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1992	texte imprimé ; printed text ; text	25 cm	http://catalogue.bnf.fr/ark:/12148/cb371272512
ark:/12148/cb34347885c		Ubi kids				fre ; français					Ubi Soft (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	199 	ressource électronique ; electronic resource	CD-ROM ; 12 cm	http://catalogue.bnf.fr/ark:/12148/cb34347885c
ark:/12148/cb37136145t		Ma jolie cuisine miniature				fre ; français					Éd. Atlas (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2000	texte imprimé ; printed text ; text	Ill. en noir et en coul., couv. ill. en coul. ; 30 cm	http://catalogue.bnf.fr/ark:/12148/cb37136145t
ark:/12148/cb34347026n		La montagne ardéchoise : topo-guide				fre ; français					Ceven'art (Les Vans)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1994	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb34347026n
ark:/12148/cb343468467		Atlas des cols des Alpes (3e éd.) 				fre ; français					Altigraphe éd. (Bouchemaine)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1995	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb343468467
ark:/12148/cb37012146m		Trucs et astuces		Collection : Player one pocket		fre ; français					Média système éd. (Boulogne)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1998	texte imprimé ; printed text ; text	18 cm	http://catalogue.bnf.fr/ark:/12148/cb37012146m
ark:/12148/cb343444470		Panneaux routiers				fre ; français					Tournesol (Limay)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1995	texte imprimé ; printed text ; text	14 cm	http://catalogue.bnf.fr/ark:/12148/cb343444470
ark:/12148/cb377208485		DPECF, manuel				fre ; français					Litec (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb377208485
ark:/12148/cb34344810r		Norsk utenrikspolitikks historie				nor ; norvégien					Universitetsforlaget (Oslo)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1995	texte imprimé ; printed text ; text	vol. ; 25 cm	http://catalogue.bnf.fr/ark:/12148/cb34344810r ; ISBN 8200226395
ark:/12148/cb37127030j		DESCF, annales corrigées 2000				fre ; français					Foucher (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2000	texte imprimé ; printed text ; text	25 cm	http://catalogue.bnf.fr/ark:/12148/cb37127030j
ark:/12148/cb36946390n		Voirie urbaine				fre ; français					Éd. Weka (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1999	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb36946390n
ark:/12148/cb37012201x		Planescape aventure / trad. de l'anglais				fre ; français					Jeux Descartes (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1998	texte imprimé ; printed text ; text	28 cm	http://catalogue.bnf.fr/ark:/12148/cb37012201x
ark:/12148/cb36946161h		Raquette à neige		Collection : Itinéraires choisis		fre ; français					Didier-Richard (Claix)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1998	texte imprimé ; printed text ; text		http://catalogue.bnf.fr/ark:/12148/cb36946161h
ark:/12148/cb411010210		Aliens				fre ; français					Outworld (Esnes)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2007	texte imprimé ; printed text ; text	18 cm	http://catalogue.bnf.fr/ark:/12148/cb411010210
ark:/12148/cb422517814		Barjo				fre ; français					Tourbillon (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2004	texte imprimé ; printed text ; text	12 cm	http://catalogue.bnf.fr/ark:/12148/cb422517814
ark:/12148/cb388362234		Gestion, finance ([Nouv. éd.]) 				fre ; français					Dunod (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2002	texte imprimé ; printed text ; text	27 cm	http://catalogue.bnf.fr/ark:/12148/cb388362234
